Airline,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4
Alaska,23686.0,30215.0,34127.0,24787.0,30484.0,35022.0,39297.0,30811.0,30602.0,38232.0,42114.0,36295.0,48800.0,77881.0,83804.0,69182.0,69691.0,85531.0,94289.0,78140.0,63687.0,22614.0,38323.0,42715.0,39761.0,62587.0,71000.0,68825.0,64370.0,88321.0,92981.0,80917.0,74482.0,97943.0,101337.0,84549.0,83934.0,106033.0,118372.0,98236.0
Allegiant,40444.0,42463.0,39934.0,38523.0,43759.0,45934.0,45168.0,42468.0,46556.0,51253.0,46317.0,48457.0,56568.0,59751.0,52919.0,50322.0,63660.0,73926.0,64957.0,62551.0,57337.0,19310.0,32115.0,36577.0,41330.0,67959.0,68888.0,67950.0,73649.0,93183.0,83634.0,80586.0,88685.0,96696.0,86787.0,85386.0,90754.0,101292.0,90031.0,89385.0
American,151758.0,165660.0,292089.0,267293.0,262464.0,288836.0,288124.0,278048.0,272805.0,301971.0,299428.0,298524.0,289278.0,313340.0,309190.0,309653.0,317297.0,350554.0,342127.0,329146.0,274371.0,62529.0,147069.0,183150.0,188641.0,331662.0,348042.0,355943.0,314803.0,383113.0,351356.0,348944.0,325296.0,352279.0,342047.0,337299.0,334743.0,394435.0,389782.0,382369.0
Delta,198119.0,226294.0,236890.0,213799.0,197690.0,232461.0,228971.0,213297.0,203507.0,237998.0,247007.0,219114.0,172730.0,202384.0,214192.0,199158.0,201412.0,288351.0,293618.0,251677.0,203528.0,27477.0,88112.0,121875.0,134047.0,225877.0,266130.0,247016.0,226849.0,265558.0,252159.0,234831.0,226255.0,253222.0,259462.0,246286.0,239012.0,289749.0,259227.0,272113.0
Frontier,42011.0,49565.0,56582.0,71886.0,70755.0,71578.0,84962.0,79497.0,80224.0,91352.0,94495.0,98070.0,100452.0,85819.0,90654.0,89514.0,91389.0,101567.0,131005.0,135197.0,109801.0,17308.0,48433.0,56307.0,67692.0,125098.0,132930.0,137668.0,131479.0,187737.0,201770.0,222968.0,221438.0,231463.0,211176.0,215842.0,203624.0,233695.0,212662.0,211643.0
Hawaiian,18212.0,21527.0,21965.0,19457.0,19804.0,20994.0,22332.0,19270.0,19054.0,20535.0,21503.0,20063.0,20562.0,22074.0,22115.0,19972.0,20185.0,22515.0,22588.0,20468.0,17277.0,1451.0,2569.0,4729.0,7585.0,18617.0,21454.0,18691.0,18489.0,24487.0,23905.0,20312.0,18985.0,20185.0,19895.0,17476.0,17859.0,22404.0,24665.0,22555.0
JetBlue,21992.0,21848.0,42717.0,56153.0,57853.0,57625.0,59548.0,56578.0,61994.0,74282.0,81143.0,72419.0,72466.0,77752.0,86538.0,84433.0,84591.0,89860.0,95810.0,91153.0,91643.0,6866.0,40875.0,67782.0,78860.0,124268.0,170545.0,153529.0,136797.0,165808.0,165925.0,156327.0,148043.0,161298.0,168276.0,146369.0,142559.0,158987.0,177864.0,143084.0
Southwest,10112.0,11924.0,11542.0,10058.0,10253.0,11993.0,11346.0,10158.0,10419.0,12298.0,11934.0,11460.0,11436.0,13418.0,12873.0,12222.0,12025.0,13749.0,13046.0,12004.0,11588.0,4739.0,8837.0,8895.0,9965.0,15450.0,16906.0,15360.0,14858.0,17969.0,17855.0,16315.0,15681.0,18919.0,19747.0,19093.0,18990.0,21769.0,21364.0,20956.0
Spirit,65148.0,73196.0,77328.0,73039.0,102618.0,111638.0,113217.0,106796.0,110908.0,125844.0,125457.0,130436.0,144345.0,161656.0,166505.0,165736.0,176063.0,194915.0,191072.0,196721.0,175074.0,20194.0,99720.0,122695.0,118274.0,184480.0,177519.0,184765.0,194287.0,238971.0,238245.0,261715.0,256701.0,263467.0,233974.0,233497.0,237006.0,232366.0,181430.0,123925.0
Sun Country,5364.0,4124.0,4312.0,3613.0,4949.0,4078.0,3499.0,4622.0,5771.0,5007.0,4892.0,4387.0,8739.0,8798.0,9300.0,9323.0,16687.0,17741.0,18793.0,17346.0,18655.0,2418.0,6806.0,8384.0,12406.0,15876.0,17754.0,15518.0,22633.0,20703.0,21039.0,21088.0,26786.0,24803.0,25796.0,24898.0,31651.0,27737.0,26052.0,25469.0
United,154022.0,170257.0,184740.0,163203.0,158949.0,175460.0,185609.0,170386.0,169909.0,200080.0,222370.0,202130.0,193951.0,217876.0,236913.0,240000.0,238470.0,274949.0,258986.0,233928.0,200642.0,35925.0,87439.0,138117.0,133986.0,207016.0,267721.0,260903.0,245070.0,294420.0,288856.0,290224.0,284126.0,311057.0,326473.0,296843.0,300800.0,346431.0,352933.0,334933.0
