date,CPI
2015Q1,234.84933333333333
2015Q2,237.68066666666667
2015Q3,238.30499999999998
2015Q4,237.23300000000003
2016Q1,237.38633333333334
2016Q2,240.16933333333336
2016Q3,240.96833333333333
2016Q4,241.50466666666668
2017Q1,243.4143333333333
2017Q2,244.73733333333334
2017Q3,245.708
2017Q4,246.61866666666666
2018Q1,248.804
2018Q2,251.37433333333334
2018Q3,252.197
2018Q4,252.052
2019Q1,252.89666666666668
2019Q2,255.92766666666662
2019Q3,256.62933333333336
2019Q4,257.176
2020Q1,258.25466666666665
2020Q2,256.86
2020Q3,259.7663333333333
2020Q4,260.36366666666663
2021Q1,263.15766666666667
2021Q2,269.315
2021Q3,273.62666666666667
2021Q4,277.7796666666666
2022Q1,284.1226666666667
2022Q2,292.57199999999995
2022Q3,296.41833333333335
2022Q4,297.50666666666666
2023Q1,300.61533333333335
2023Q2,304.19966666666664
2023Q3,306.8353333333333
2023Q4,307.156
2024Q1,310.35833333333335
2024Q2,313.9306666666667
2024Q3,314.87899999999996
2024Q4,315.58733333333333
